"drugA","drugB","Score","Rank"
"Aclacinomycin A","Blebbistatin",0.000485,81
"Aclacinomycin A","Camptothecin",0.00056,79
"Aclacinomycin A","Cycloheximide",0.000195,84
"Aclacinomycin A","Doxorubicin hydrochloride",0.00077,75
"Aclacinomycin A","Etoposide",0.00088,74
"Aclacinomycin A","Geldanamycin",0.000135,86
"Aclacinomycin A","H-7, Dihydrochloride",0.00254,67
"Aclacinomycin A","Methotrexate",5.5e-05,88
"Aclacinomycin A","Mitomycin C",0.0014,70
"Aclacinomycin A","Monastrol",0.00061,77
"Aclacinomycin A","Rapamycin",0.0037,65
"Aclacinomycin A","Trichostatin A",0.001335,71
"Aclacinomycin A","Vincristine",0.000145,85
"Blebbistatin","Camptothecin",0.07281,41
"Blebbistatin","Cycloheximide",0.011045,64
"Blebbistatin","Doxorubicin hydrochloride",0.030185,57
"Blebbistatin","Etoposide",0.060605,44
"Blebbistatin","Geldanamycin",0.000325,82
"Blebbistatin","H-7, Dihydrochloride",0.38308,6
"Blebbistatin","Methotrexate",0.039275,51
"Blebbistatin","Mitomycin C",0.128995,25
"Blebbistatin","Monastrol",0.081215,38
"Blebbistatin","Rapamycin",0.219845,15
"Blebbistatin","Trichostatin A",0.052085,48
"Blebbistatin","Vincristine",0.031795,56
"Camptothecin","Cycloheximide",0.03479,53
"Camptothecin","Doxorubicin hydrochloride",0.174465,17
"Camptothecin","Etoposide",0.301485,9
"Camptothecin","Geldanamycin",0.000295,83
"Camptothecin","H-7, Dihydrochloride",0.132095,23
"Camptothecin","Methotrexate",0.31616,8
"Camptothecin","Mitomycin C",0.58274,3
"Camptothecin","Monastrol",0.05426,46
"Camptothecin","Rapamycin",0.112825,28
"Camptothecin","Trichostatin A",0.07877,39
"Camptothecin","Vincristine",0.034105,54
"Cycloheximide","Doxorubicin hydrochloride",0.012815,63
"Cycloheximide","Etoposide",0.033675,55
"Cycloheximide","Geldanamycin",9e-05,87
"Cycloheximide","H-7, Dihydrochloride",0.293895,11
"Cycloheximide","Methotrexate",0.072265,42
"Cycloheximide","Mitomycin C",0.0986,32
"Cycloheximide","Monastrol",0.01623,62
"Cycloheximide","Rapamycin",0.083165,36
"Cycloheximide","Trichostatin A",0.002225,69
"Cycloheximide","Vincristine",-0.000505,91
"Doxorubicin hydrochloride","Etoposide",0.274075,13
"Doxorubicin hydrochloride","Geldanamycin",0.000585,78
"Doxorubicin hydrochloride","H-7, Dihydrochloride",0.05408,47
"Doxorubicin hydrochloride","Methotrexate",0.08167,37
"Doxorubicin hydrochloride","Mitomycin C",0.360185,7
"Doxorubicin hydrochloride","Monastrol",0.066805,43
"Doxorubicin hydrochloride","Rapamycin",0.152725,19
"Doxorubicin hydrochloride","Trichostatin A",0.10143,31
"Doxorubicin hydrochloride","Vincristine",0.017675,60
"Etoposide","Geldanamycin",0.000625,76
"Etoposide","H-7, Dihydrochloride",0.130245,24
"Etoposide","Methotrexate",0.203845,16
"Etoposide","Mitomycin C",0.51866,4
"Etoposide","Monastrol",0.07354,40
"Etoposide","Rapamycin",0.14033,21
"Etoposide","Trichostatin A",0.11741,27
"Etoposide","Vincristine",0.035675,52
"Geldanamycin","H-7, Dihydrochloride",0.00224,68
"Geldanamycin","Methotrexate",-3e-04,90
"Geldanamycin","Mitomycin C",0.001085,73
"Geldanamycin","Monastrol",0.000525,80
"Geldanamycin","Rapamycin",0.003485,66
"Geldanamycin","Trichostatin A",0.00113,72
"Geldanamycin","Vincristine",5e-06,89
"H-7, Dihydrochloride","Methotrexate",0.045695,49
"H-7, Dihydrochloride","Mitomycin C",0.2893,12
"H-7, Dihydrochloride","Monastrol",1.063205,2
"H-7, Dihydrochloride","Rapamycin",1.271935,1
"H-7, Dihydrochloride","Trichostatin A",0.294205,10
"H-7, Dihydrochloride","Vincristine",0.157885,18
"Methotrexate","Mitomycin C",0.503085,5
"Methotrexate","Monastrol",0.088155,34
"Methotrexate","Rapamycin",0.10902,29
"Methotrexate","Trichostatin A",0.01838,59
"Methotrexate","Vincristine",0.01691,61
"Mitomycin C","Monastrol",0.092135,33
"Mitomycin C","Rapamycin",0.258955,14
"Mitomycin C","Trichostatin A",0.12209,26
"Mitomycin C","Vincristine",0.086055,35
"Monastrol","Rapamycin",0.14386,20
"Monastrol","Trichostatin A",0.023735,58
"Monastrol","Vincristine",0.05965,45
"Rapamycin","Trichostatin A",0.102395,30
"Rapamycin","Vincristine",0.140175,22
"Trichostatin A","Vincristine",0.04159,50
