"drugA","drugB","Score","Rank"
"Aclacinomycin A","Blebbistatin",0.000485,81
"Aclacinomycin A","Camptothecin",0.00056,79
"Aclacinomycin A","Cycloheximide",0.000195,84
"Aclacinomycin A","Doxorubicin hydrochloride",0.00077,75
"Aclacinomycin A","Etoposide",0.00088,74
"Aclacinomycin A","Geldanamycin",0.000135,86
"Aclacinomycin A","H-7, Dihydrochloride",0.00254,68
"Aclacinomycin A","Methotrexate",5.5e-05,88
"Aclacinomycin A","Mitomycin C",0.0014,70
"Aclacinomycin A","Monastrol",0.00061,77
"Aclacinomycin A","Rapamycin",0.0037,66
"Aclacinomycin A","Trichostatin A",0.001335,71
"Aclacinomycin A","Vincristine",0.000145,85
"Blebbistatin","Camptothecin",0.1088,42
"Blebbistatin","Cycloheximide",0.015365,63
"Blebbistatin","Doxorubicin hydrochloride",0.056125,55
"Blebbistatin","Etoposide",0.11066,41
"Blebbistatin","Geldanamycin",0.000325,82
"Blebbistatin","H-7, Dihydrochloride",0.627695,8
"Blebbistatin","Methotrexate",0.11541,39
"Blebbistatin","Mitomycin C",0.168895,31
"Blebbistatin","Monastrol",0.08233,47
"Blebbistatin","Rapamycin",0.307015,22
"Blebbistatin","Trichostatin A",0.080595,48
"Blebbistatin","Vincristine",0.045165,59
"Camptothecin","Cycloheximide",0.049535,57
"Camptothecin","Doxorubicin hydrochloride",0.25594,25
"Camptothecin","Etoposide",0.431945,14
"Camptothecin","Geldanamycin",0.000295,83
"Camptothecin","H-7, Dihydrochloride",0.4623,12
"Camptothecin","Methotrexate",0.50163,9
"Camptothecin","Mitomycin C",0.65893,7
"Camptothecin","Monastrol",0.06677,50
"Camptothecin","Rapamycin",0.203525,28
"Camptothecin","Trichostatin A",0.12671,37
"Camptothecin","Vincristine",0.05181,56
"Cycloheximide","Doxorubicin hydrochloride",0.014135,64
"Cycloheximide","Etoposide",0.049175,58
"Cycloheximide","Geldanamycin",9e-05,87
"Cycloheximide","H-7, Dihydrochloride",0.4101,17
"Cycloheximide","Methotrexate",0.10857,43
"Cycloheximide","Mitomycin C",0.11615,38
"Cycloheximide","Monastrol",0.01623,62
"Cycloheximide","Rapamycin",0.083165,46
"Cycloheximide","Trichostatin A",0.00405,65
"Cycloheximide","Vincristine",-0.000185,90
"Doxorubicin hydrochloride","Etoposide",0.419085,16
"Doxorubicin hydrochloride","Geldanamycin",0.000585,78
"Doxorubicin hydrochloride","H-7, Dihydrochloride",0.33572,21
"Doxorubicin hydrochloride","Methotrexate",0.24007,26
"Doxorubicin hydrochloride","Mitomycin C",0.483365,11
"Doxorubicin hydrochloride","Monastrol",0.07723,49
"Doxorubicin hydrochloride","Rapamycin",0.25897,24
"Doxorubicin hydrochloride","Trichostatin A",0.16207,33
"Doxorubicin hydrochloride","Vincristine",0.03224,61
"Etoposide","Geldanamycin",0.000625,76
"Etoposide","H-7, Dihydrochloride",0.48814,10
"Etoposide","Methotrexate",0.427825,15
"Etoposide","Mitomycin C",0.7052,4
"Etoposide","Monastrol",0.0887,45
"Etoposide","Rapamycin",0.29615,23
"Etoposide","Trichostatin A",0.201845,29
"Etoposide","Vincristine",0.059135,53
"Geldanamycin","H-7, Dihydrochloride",0.00224,69
"Geldanamycin","Methotrexate",-3e-04,91
"Geldanamycin","Mitomycin C",0.001085,73
"Geldanamycin","Monastrol",0.000525,80
"Geldanamycin","Rapamycin",0.003485,67
"Geldanamycin","Trichostatin A",0.00113,72
"Geldanamycin","Vincristine",5e-06,89
"H-7, Dihydrochloride","Methotrexate",0.394995,18
"H-7, Dihydrochloride","Mitomycin C",0.701005,5
"H-7, Dihydrochloride","Monastrol",1.319765,2
"H-7, Dihydrochloride","Rapamycin",2.552255,1
"H-7, Dihydrochloride","Trichostatin A",0.72288,3
"H-7, Dihydrochloride","Vincristine",0.433305,13
"Methotrexate","Mitomycin C",0.67036,6
"Methotrexate","Monastrol",0.12705,36
"Methotrexate","Rapamycin",0.35418,20
"Methotrexate","Trichostatin A",0.150505,34
"Methotrexate","Vincristine",0.059025,54
"Mitomycin C","Monastrol",0.092135,44
"Mitomycin C","Rapamycin",0.38966,19
"Mitomycin C","Trichostatin A",0.14176,35
"Mitomycin C","Vincristine",0.112425,40
"Monastrol","Rapamycin",0.16482,32
"Monastrol","Trichostatin A",0.042615,60
"Monastrol","Vincristine",0.065865,51
"Rapamycin","Trichostatin A",0.18853,30
"Rapamycin","Vincristine",0.218945,27
"Trichostatin A","Vincristine",0.063465,52
