"drugA","drugB","Similarity","mPositive","mNegative","mFalse","iPositive","iNegative","iFalse","Score"
"Aclacinomycin A","Blebbistatin",0.01633,0,0,0,0,0,0,0.000485
"Aclacinomycin A","Camptothecin",0.02745,0,0,0,0,0,0,0.00056
"Aclacinomycin A","Cycloheximide",0.01063,0,0,0,0,0,0,0.000195
"Aclacinomycin A","Doxorubicin hydrochloride",0.01958,0,0,0,0,0,0,0.00077
"Aclacinomycin A","Etoposide",0.02639,0,0,0,0,0,0,0.00088
"Aclacinomycin A","Geldanamycin",0.00585,0,0,0,0,0,0,0.000135
"Aclacinomycin A","H-7, Dihydrochloride",0.03099,0,0,0,0,0,0,0.00254
"Aclacinomycin A","Methotrexate",0.03678,0,0,0,0,0,0,5.5e-05
"Aclacinomycin A","Mitomycin C",0.03237,0,0,0,0,0,0,0.0014
"Aclacinomycin A","Monastrol",0.00861,0,0,0,0,0,0,0.00061
"Aclacinomycin A","Rapamycin",0.02243,0,0,0,0,0,0,0.0037
"Aclacinomycin A","Trichostatin A",0.02155,0,0,0,0,0,0,0.001335
"Aclacinomycin A","Vincristine",0.01452,0,0,0,0,0,0,0.000145
"Blebbistatin","Camptothecin",1.42168,23,3,0,17,2.5,9,0.11016
"Blebbistatin","Cycloheximide",0.47459,1,0,1,13,0,1,0.01557
"Blebbistatin","Doxorubicin hydrochloride",0.754485,21,3,2,10,5,12.5,0.054175
"Blebbistatin","Etoposide",1.24858,22,3,1,20,5.5,13.5,0.1094
"Blebbistatin","Geldanamycin",0.01633,0,0,0,0,0,0,0.000325
"Blebbistatin","H-7, Dihydrochloride",2.67097,67,3,1,61.5,7.5,37.5,0.588435
"Blebbistatin","Methotrexate",1.71701,25,1,0,24,1,19,0.123505
"Blebbistatin","Mitomycin C",1.41779,20,0,1,13.5,2,6,0.162705
"Blebbistatin","Monastrol",0.57941,7,0,0,6.5,0,1,0.083155
"Blebbistatin","Rapamycin",1.2426,36,3,0,21,2.5,8.5,0.311185
"Blebbistatin","Trichostatin A",0.677055,7,1,2,10.5,4.5,5,0.07536
"Blebbistatin","Vincristine",0.883935,39,0,0,12,1.5,9.5,0.038885
"Camptothecin","Cycloheximide",0.937185,1,0,1,17.5,0,2,0.04113
"Camptothecin","Doxorubicin hydrochloride",2.1734,37,8,0,17,7,13,0.26744
"Camptothecin","Etoposide",2.959715,62,10,0,22.5,7,16,0.44504
"Camptothecin","Geldanamycin",0.02745,0,0,0,0,0,0,0.000295
"Camptothecin","H-7, Dihydrochloride",2.49043,28,4,7,64.5,11,51,0.460285
"Camptothecin","Methotrexate",3.65288,63,5,0,27,2,17,0.521415
"Camptothecin","Mitomycin C",3.30245,50,4,0,16,4,5.5,0.643655
"Camptothecin","Monastrol",0.561345,4,0,0,4.5,0.5,1,0.06092
"Camptothecin","Rapamycin",1.11918,15,3,1,19,4,8.5,0.198485
"Camptothecin","Trichostatin A",1.05249,8,4,1,9,4,4,0.126285
"Camptothecin","Vincristine",1.07967,22,1,0,10.5,1,6.5,0.046
"Cycloheximide","Doxorubicin hydrochloride",0.022545,0,0,5,13,0.5,4.5,0.015745
"Cycloheximide","Etoposide",0.62112,1,0,2,18,0.5,3,0.03115
"Cycloheximide","Geldanamycin",0.01063,0,0,0,0,0,0,9e-05
"Cycloheximide","H-7, Dihydrochloride",1.70273,3,1,1,24.5,1,4.5,0.22388
"Cycloheximide","Methotrexate",1.463675,2,0,1,21.5,0,2.5,0.07346
"Cycloheximide","Mitomycin C",1.09128,0,0,0,16,0,1.5,0.0996
"Cycloheximide","Monastrol",0.120845,0,0,1,3.5,0,0,0.014385
"Cycloheximide","Rapamycin",0.426995,0,0,0,10.5,0,0,0.05537
"Cycloheximide","Trichostatin A",0.031905,0,0,2,2,0.5,0.5,0.001995
"Cycloheximide","Vincristine",0.13446,0,0,1,9.5,0,1.5,-0.000405
"Doxorubicin hydrochloride","Etoposide",2.59693,47,24,0,22.5,8.5,21,0.43614
"Doxorubicin hydrochloride","Geldanamycin",0.01958,0,0,0,0,0,0,0.000585
"Doxorubicin hydrochloride","H-7, Dihydrochloride",1.794315,26,7,13,45.5,21.5,63,0.345635
"Doxorubicin hydrochloride","Methotrexate",2.24371,43,4,8,21.5,5.5,27,0.24908
"Doxorubicin hydrochloride","Mitomycin C",2.46703,34,5,0,15,5,10.5,0.452975
"Doxorubicin hydrochloride","Monastrol",0.51838,5,2,0,2,0.5,2,0.075695
"Doxorubicin hydrochloride","Rapamycin",1.037855,20,5,0,21,5.5,15.5,0.251605
"Doxorubicin hydrochloride","Trichostatin A",1.05876,12,10,0,5.5,4.5,6,0.155895
"Doxorubicin hydrochloride","Vincristine",0.611705,18,0,1,8.5,4.5,10.5,0.025735
"Etoposide","Geldanamycin",0.02639,0,0,0,0,0,0,0.000625
"Etoposide","H-7, Dihydrochloride",2.311975,32,8,13,74.5,21,73.5,0.487615
"Etoposide","Methotrexate",3.22533,67,5,4,30.5,5.5,32.5,0.436885
"Etoposide","Mitomycin C",3.18541,52,5,0,19.5,5.5,11,0.69999
"Etoposide","Monastrol",0.668185,5,2,0,3.5,0.5,3,0.099085
"Etoposide","Rapamycin",1.180285,20,4,1,25.5,5.5,17.5,0.2843
"Etoposide","Trichostatin A",1.265115,9,10,0,10,4.5,6.5,0.202005
"Etoposide","Vincristine",0.995755,24,0,1,12.5,4,10.5,0.05038
"Geldanamycin","H-7, Dihydrochloride",0.03099,0,0,0,0,0,0,0.00224
"Geldanamycin","Methotrexate",0.03678,0,0,0,0,0,0,-3e-04
"Geldanamycin","Mitomycin C",0.03237,0,0,0,0,0,0,0.001085
"Geldanamycin","Monastrol",0.00861,0,0,0,0,0,0,0.000525
"Geldanamycin","Rapamycin",0.02243,0,0,0,0,0,0,0.003485
"Geldanamycin","Trichostatin A",0.02155,0,0,0,0,0,0,0.00113
"Geldanamycin","Vincristine",0.01452,0,0,0,0,0,0,5e-06
"H-7, Dihydrochloride","Methotrexate",2.847245,43,2,16,99,13.5,92.5,0.37868
"H-7, Dihydrochloride","Mitomycin C",2.570915,28,1,5,57.5,7.5,36.5,0.700165
"H-7, Dihydrochloride","Monastrol",2.71336,16,1,0,22.5,0,9,1.182515
"H-7, Dihydrochloride","Rapamycin",3.36999,83,10,0,99.5,16.5,68,2.5244
"H-7, Dihydrochloride","Trichostatin A",2.258815,21,5,3,33.5,14,25,0.711695
"H-7, Dihydrochloride","Vincristine",2.67886,63,5,3,58.5,9,51.5,0.422595
"Methotrexate","Mitomycin C",3.37312,51,2,0,22,3,13.5,0.70912
"Methotrexate","Monastrol",0.92547,5,1,1,6,0.5,2.5,0.14399
"Methotrexate","Rapamycin",1.531005,20,1,2,30,4,24,0.338915
"Methotrexate","Trichostatin A",1.11683,12,0,5,11,4,11.5,0.145935
"Methotrexate","Vincristine",1.6013,26,2,0,18.5,1,18.5,0.05776
"Mitomycin C","Monastrol",0.713305,3,0,0,4.5,0.5,0,0.10265
"Mitomycin C","Rapamycin",1.34387,14,1,1,19.5,3.5,6,0.318255
"Mitomycin C","Trichostatin A",1.00545,4,3,1,8.5,3.5,2,0.131445
"Mitomycin C","Vincristine",1.16169,17,0,1,10,2,7,0.09899
"Monastrol","Rapamycin",0.77185,8,0,0,6.5,0,1.5,0.167915
"Monastrol","Trichostatin A",0.276535,1,0,0,2.5,0,2,0.036875
"Monastrol","Vincristine",0.42194,6,0,0,4.5,0,1,0.053415
"Rapamycin","Trichostatin A",0.72527,10,2,0,9.5,3.5,7,0.156905
"Rapamycin","Vincristine",1.067145,32,1,0,17,2.5,11.5,0.190855
"Trichostatin A","Vincristine",0.612575,10,0,1,7.5,2.5,5,0.05667
