"drugA","drugB","Similarity","mPositive","mNegative","mFalse","iPositive","iNegative","iFalse","Score"
"Aclacinomycin A","Blebbistatin",0.00856,0,0,0,0,0,0,0.00025
"Aclacinomycin A","Camptothecin",0.02745,0,0,0,0,0,0,0.00056
"Aclacinomycin A","Cycloheximide",0.0087,0,0,0,0,0,0,0.000155
"Aclacinomycin A","Doxorubicin hydrochloride",0.01821,0,0,0,0,0,0,0.000715
"Aclacinomycin A","Etoposide",0.02639,0,0,0,0,0,0,0.00088
"Aclacinomycin A","Geldanamycin",0.00425,0,0,0,0,0,0,1e-04
"Aclacinomycin A","H-7, Dihydrochloride",0.0299,0,0,0,0,0,0,0.002445
"Aclacinomycin A","Methotrexate",0.03021,0,0,0,0,0,0,3.5e-05
"Aclacinomycin A","Mitomycin C",0.0252,0,0,0,0,0,0,0.00108
"Aclacinomycin A","Monastrol",0.00523,0,0,0,0,0,0,0.00037
"Aclacinomycin A","Rapamycin",0.0202,0,0,0,0,0,0,0.00333
"Aclacinomycin A","Trichostatin A",0.0178,0,0,0,0,0,0,0.001095
"Aclacinomycin A","Vincristine",0.00864,0,0,0,0,0,0,8.5e-05
"Blebbistatin","Camptothecin",0.788645,4,3,0,1.5,1.5,2,0.04739
"Blebbistatin","Cycloheximide",0.02327,0,0,0,0,0.5,0,0.000535
"Blebbistatin","Doxorubicin hydrochloride",0.870485,4,8,0,3,2.5,4,0.072105
"Blebbistatin","Etoposide",1.225395,4,8,0,3,2.5,2.5,0.12726
"Blebbistatin","Geldanamycin",0.00856,0,0,0,0,0,0,0.000165
"Blebbistatin","H-7, Dihydrochloride",1.94019,3,10,0,7.5,4.5,12,0.371475
"Blebbistatin","Methotrexate",0.457285,4,1,1,1,1,6,0.01535
"Blebbistatin","Mitomycin C",0.754695,4,3,0,1.5,1.5,1.5,0.055805
"Blebbistatin","Monastrol",0.08994,0,1,0,0,0,0.5,0.008955
"Blebbistatin","Rapamycin",0.58093,1,6,0,1.5,0.5,2,0.07544
"Blebbistatin","Trichostatin A",0.49843,0,4,0,2,1.5,1.5,0.038185
"Blebbistatin","Vincristine",0.12909,2,1,0,0.5,0,1,0.00197
"Camptothecin","Cycloheximide",-0.29736,0,0,1,0,0,1.5,0.005165
"Camptothecin","Doxorubicin hydrochloride",2.144615,25,12,0,12.5,5,7.5,0.260275
"Camptothecin","Etoposide",2.850785,41,15,0,15,5.5,8.5,0.416945
"Camptothecin","Geldanamycin",0.02745,0,0,0,0,0,0,0.000295
"Camptothecin","H-7, Dihydrochloride",0.65661,1,5,14,20.5,12,55.5,0.047715
"Camptothecin","Methotrexate",2.61743,40,6,0,11.5,2,11,0.254495
"Camptothecin","Mitomycin C",2.756925,37,8,0,8,3.5,3.5,0.45034
"Camptothecin","Monastrol",0.50322,0,1,0,0.5,0.5,0,0.078365
"Camptothecin","Rapamycin",0.51526,3,3,2,4,3,5.5,0.09208
"Camptothecin","Trichostatin A",0.83385,2,5,1,4,2.5,2.5,0.101355
"Camptothecin","Vincristine",0.53753,3,1,1,2.5,1,0.5,0.009115
"Cycloheximide","Doxorubicin hydrochloride",-0.56827,0,0,3,0,0.5,1,0.02167
"Cycloheximide","Etoposide",-0.541735,0,0,2,0,0.5,2.5,0.02062
"Cycloheximide","Geldanamycin",0.0087,0,0,0,0,0,0,7e-05
"Cycloheximide","H-7, Dihydrochloride",0.907985,0,1,1,2,0.5,1,0.06995
"Cycloheximide","Methotrexate",-0.3205,0,0,1,0,0,1.5,0.00709
"Cycloheximide","Mitomycin C",0.0252,0,0,0,0,0,1,0.000715
"Cycloheximide","Monastrol",0.0087,0,0,0,0,0,0,0.00049
"Cycloheximide","Rapamycin",0.0202,0,0,0,0,0,0.5,0.003035
"Cycloheximide","Trichostatin A",-0.38303,0,0,2,0,0.5,0.5,0.00688
"Cycloheximide","Vincristine",-0.105155,0,0,1,0,0,0,0.000595
"Doxorubicin hydrochloride","Etoposide",2.90749,29,35,0,25,8.5,17.5,0.537585
