"drugA","drugB","Similarity","mPositive","mNegative","mFalse","iPositive","iNegative","iFalse","Score"
"Aclacinomycin A","Blebbistatin",0.01624,0,0,0,0,0,0,0.00048
"Aclacinomycin A","Camptothecin",0.0273,0,0,0,0,0,0,0.00056
"Aclacinomycin A","Cycloheximide",0.01056,0,0,0,0,0,0,0.00019
"Aclacinomycin A","Doxorubicin hydrochloride",0.01958,0,0,0,0,0,0,0.000775
"Aclacinomycin A","Etoposide",0.02625,0,0,0,0,0,0,0.00087
"Aclacinomycin A","Geldanamycin",0.00581,0,0,0,0,0,0,0.000135
"Aclacinomycin A","H-7, Dihydrochloride",0.03086,0,0,0,0,0,0,0.002525
"Aclacinomycin A","Methotrexate",0.03668,0,0,0,0,0,0,5.5e-05
"Aclacinomycin A","Mitomycin C",0.03227,0,0,0,0,0,0,0.001395
"Aclacinomycin A","Monastrol",0.00855,0,0,0,0,0,0,0.00061
"Aclacinomycin A","Rapamycin",0.02235,0,0,0,0,0,0,0.00369
"Aclacinomycin A","Trichostatin A",0.02154,0,0,0,0,0,0,0.001335
"Aclacinomycin A","Vincristine",0.01452,0,0,0,0,0,0,0.000145
"Blebbistatin","Camptothecin",1.416875,24,3,0,17.5,2.5,9.5,0.10948
"Blebbistatin","Cycloheximide",0.525055,1,0,1,14,0,1,0.01849
"Blebbistatin","Doxorubicin hydrochloride",0.755465,22,3,2,10,5,12.5,0.054245
"Blebbistatin","Etoposide",1.239135,23,3,1,20.5,5.5,15,0.10802
"Blebbistatin","Geldanamycin",0.01624,0,0,0,0,0,0,0.000325
"Blebbistatin","H-7, Dihydrochloride",2.705205,70,3,1,65,7.5,39.5,0.599535
"Blebbistatin","Methotrexate",1.68716,25,1,0,24,1,20,0.11854
"Blebbistatin","Mitomycin C",1.428415,20,1,1,14,2,6.5,0.16488
"Blebbistatin","Monastrol",0.57789,7,0,0,7.5,0,1,0.081845
"Blebbistatin","Rapamycin",1.220085,36,3,0,21.5,2.5,11,0.304945
"Blebbistatin","Trichostatin A",0.703385,9,1,2,11,4.5,5.5,0.077055
"Blebbistatin","Vincristine",0.929945,42,0,0,14,1.5,10.5,0.04306
"Camptothecin","Cycloheximide",1.03471,2,0,1,18,0,2,0.049045
"Camptothecin","Doxorubicin hydrochloride",2.119725,38,8,0,17,7,13.5,0.255715
"Camptothecin","Etoposide",2.89809,63,11,0,23,7,17.5,0.42765
"Camptothecin","Geldanamycin",0.0273,0,0,0,0,0,0,0.000295
"Camptothecin","H-7, Dihydrochloride",2.490485,30,5,8,67,11,59,0.45847
"Camptothecin","Methotrexate",3.60258,63,6,0,27.5,2,20,0.49897
"Camptothecin","Mitomycin C",3.330245,51,5,0,18,4,6.5,0.651875
"Camptothecin","Monastrol",0.59352,4,1,0,4.5,0.5,1.5,0.06629
"Camptothecin","Rapamycin",1.115395,16,3,1,19.5,4,13,0.20138
"Camptothecin","Trichostatin A",1.105135,10,4,1,10,4.5,6,0.12843
"Camptothecin","Vincristine",1.14529,24,1,0,12.5,1,7,0.05103
"Cycloheximide","Doxorubicin hydrochloride",0.264235,1,0,5,14.5,0.5,4.5,0.014325
"Cycloheximide","Etoposide",0.888595,3,0,2,19,0.5,3,0.04872
"Cycloheximide","Geldanamycin",0.01056,0,0,0,0,0,0,9e-05
"Cycloheximide","H-7, Dihydrochloride",2.308045,4,1,1,30,1,5,0.406605
"Cycloheximide","Methotrexate",1.67393,3,0,1,22.5,0,2.5,0.10797
"Cycloheximide","Mitomycin C",1.30549,1,0,0,17,0,1.5,0.1174
"Cycloheximide","Monastrol",0.15611,0,0,1,4.5,0,0,0.016115
"Cycloheximide","Rapamycin",0.77195,1,0,0,13,0,0,0.083145
"Cycloheximide","Trichostatin A",0.09829,0,0,2,3,0.5,0.5,0.004115
"Cycloheximide","Vincristine",0.13538,1,0,2,10,0,2,-4e-04
"Doxorubicin hydrochloride","Etoposide",2.53829,49,24,0,22.5,8.5,22,0.419325
"Doxorubicin hydrochloride","Geldanamycin",0.01958,0,0,0,0,0,0,0.000585
"Doxorubicin hydrochloride","H-7, Dihydrochloride",1.77262,27,7,14,46,22.5,66.5,0.33829
"Doxorubicin hydrochloride","Methotrexate",2.22497,45,4,9,21.5,5.5,28.5,0.242585
"Doxorubicin hydrochloride","Mitomycin C",2.547425,35,7,0,16.5,5,11,0.47875
"Doxorubicin hydrochloride","Monastrol",0.53078,6,2,0,2,0.5,2,0.07733
